survived,pclass,sex,sibsp,parch,fare,cabin,embarked,age group
0.0,3.0,male,0.0,0.0,8.05,N,S,N
0.0,1.0,male,0.0,0.0,135.6333,N,C,young adult
0.0,2.0,male,0.0,0.0,15.0458,N,C,young adult
0.0,2.0,male,0.0,0.0,13.0,N,S,adult
0.0,3.0,male,0.0,0.0,9.8458,N,S,teen
0.0,3.0,male,0.0,0.0,7.8542,N,S,teen
1.0,2.0,female,1.0,0.0,26.0,N,S,adult
0.0,3.0,male,0.0,0.0,8.05,N,S,young adult
1.0,3.0,male,0.0,0.0,9.5,N,S,young adult
1.0,1.0,female,0.0,2.0,83.1583,E,C,elderly
1.0,2.0,female,0.0,0.0,12.65,N,S,young adult
1.0,2.0,male,0.0,0.0,12.7375,N,C,young adult
1.0,2.0,female,1.0,0.0,13.8583,N,C,young adult
1.0,3.0,male,1.0,1.0,15.9,N,S,preteen
1.0,1.0,female,1.0,1.0,247.5208,B,C,young adult
0.0,1.0,male,0.0,1.0,61.9792,B,C,elderly
0.0,3.0,male,0.0,0.0,7.8,N,S,teen
0.0,1.0,male,0.0,0.0,26.0,N,S,adult
0.0,1.0,male,0.0,0.0,51.8625,E,S,adult
0.0,3.0,male,0.0,0.0,7.05,N,S,young adult
0.0,2.0,male,0.0,0.0,13.0,N,S,young adult
0.0,3.0,male,0.0,0.0,9.225,N,S,teen
1.0,1.0,female,0.0,0.0,106.425,N,C,young adult
1.0,2.0,female,1.0,0.0,30.0708,N,C,teen
0.0,3.0,male,0.0,0.0,7.925,N,S,young adult
1.0,1.0,female,1.0,0.0,78.2667,D,C,adult
1.0,2.0,male,1.0,1.0,26.0,F,S,child
0.0,3.0,male,0.0,0.0,7.3125,N,S,N
1.0,1.0,male,0.0,0.0,26.3875,E,S,adult
1.0,3.0,female,0.0,0.0,7.75,N,Q,young adult
0.0,3.0,male,0.0,0.0,7.8958,N,S,N
0.0,2.0,male,1.0,0.0,26.0,N,S,young adult
0.0,3.0,male,0.0,0.0,7.25,N,S,N
0.0,3.0,female,0.0,0.0,8.85,N,S,young adult
1.0,3.0,male,0.0,0.0,7.8875,N,S,N
1.0,2.0,female,1.0,2.0,27.75,N,S,child
0.0,3.0,female,0.0,0.0,7.8542,N,S,teen
1.0,1.0,female,0.0,2.0,164.8667,C,S,young adult
0.0,3.0,male,0.0,0.0,8.05,N,S,elderly
0.0,2.0,male,0.0,0.0,11.5,N,S,teen
0.0,3.0,male,1.0,1.0,7.2292,N,C,teen
1.0,1.0,male,0.0,0.0,30.5,B,C,young adult
0.0,3.0,female,0.0,0.0,8.1125,N,S,N
0.0,2.0,male,0.0,0.0,73.5,N,S,teen
0.0,3.0,male,0.0,0.0,7.125,N,S,young adult
1.0,3.0,male,0.0,0.0,7.8208,N,Q,teen
0.0,1.0,male,0.0,0.0,0.0,N,S,adult
1.0,2.0,male,0.0,0.0,13.0,D,S,young adult
1.0,1.0,female,0.0,0.0,30.0,B,S,teen
0.0,3.0,male,4.0,1.0,29.125,N,Q,child
1.0,2.0,male,1.0,1.0,18.75,N,S,child
0.0,2.0,male,0.0,0.0,0.0,N,S,N
1.0,3.0,male,0.0,0.0,7.775,N,S,teen
1.0,3.0,female,0.0,0.0,7.8792,N,Q,N
0.0,1.0,male,0.0,0.0,49.5042,N,C,elderly
1.0,3.0,female,0.0,0.0,7.75,N,Q,N
1.0,1.0,female,1.0,0.0,82.2667,B,S,young adult
1.0,1.0,female,1.0,1.0,134.5,E,C,adult
0.0,3.0,male,0.0,0.0,7.05,N,S,teen
0.0,1.0,male,1.0,0.0,136.7792,C,C,young adult
0.0,3.0,male,1.0,0.0,24.15,N,Q,N
1.0,3.0,female,0.0,2.0,15.2458,N,C,N
1.0,1.0,female,3.0,2.0,263.0,C,S,young adult
0.0,3.0,male,5.0,2.0,46.9,N,S,teen
1.0,2.0,male,0.0,0.0,10.5,N,S,elderly
0.0,3.0,male,1.0,0.0,6.4375,N,C,N
1.0,1.0,male,0.0,2.0,81.8583,A,S,child
0.0,3.0,male,0.0,0.0,7.8542,N,S,adult
1.0,2.0,female,0.0,0.0,13.7917,D,C,young adult
0.0,3.0,male,2.0,0.0,24.15,N,S,teen
1.0,2.0,female,2.0,1.0,27.0,N,S,young adult
0.0,3.0,male,0.0,0.0,7.225,N,C,N
0.0,2.0,male,1.0,1.0,26.25,N,S,young adult
0.0,1.0,female,1.0,2.0,151.55,C,S,young adult
1.0,3.0,female,0.0,1.0,9.35,N,S,teen
0.0,1.0,male,0.0,0.0,26.55,N,S,adult
0.0,3.0,male,0.0,0.0,7.7333,N,Q,teen
1.0,2.0,male,0.0,0.0,10.5,N,S,young adult
1.0,2.0,female,1.0,0.0,27.7208,N,C,young adult
0.0,1.0,male,1.0,1.0,164.8667,N,S,adult
0.0,3.0,male,0.0,0.0,8.05,N,S,teen
0.0,3.0,female,1.0,0.0,14.4542,N,C,N
0.0,3.0,male,0.0,0.0,8.05,N,S,N
0.0,3.0,male,0.0,0.0,7.7292,N,Q,N
1.0,2.0,female,0.0,2.0,13.0,N,S,teen
0.0,3.0,male,0.0,0.0,7.7958,N,S,young adult
1.0,3.0,female,1.0,2.0,20.575,N,S,young adult
0.0,3.0,male,8.0,2.0,69.55,N,S,N
1.0,3.0,female,0.0,0.0,8.6833,N,S,young adult
1.0,1.0,female,1.0,0.0,90.0,C,Q,young adult
0.0,3.0,male,4.0,2.0,31.3875,N,S,preteen
1.0,1.0,male,0.0,0.0,512.3292,B,C,young adult
0.0,3.0,female,0.0,0.0,7.8542,N,S,young adult
0.0,3.0,male,0.0,0.0,8.05,N,S,N
1.0,3.0,female,0.0,3.0,19.2583,N,C,young adult
0.0,3.0,male,2.0,0.0,18.0,N,S,teen
0.0,1.0,male,0.0,0.0,26.55,N,S,adult
